"logFC" "t" "P.Value" "adj.P.Val" "B"
"Rgs18" -3.96594412670879 -10.2873439525378 5.83857163460078e-14 1.50380887795064e-11 21.0893703058834
"Tgfbr3" 1.68905343270246 10.1116920863424 1.05176043188952e-13 2.36557216011885e-11 21.0202986058645
"Cplx3" -2.91216831371868 -10.1131158753574 1.04673910144663e-13 2.36557216011885e-11 21.0134959482714
"Pcsk5" -1.71134597668311 -10.0852362022302 1.14962182697566e-13 2.5497654104131e-11 20.8915604310363
"Ssfa2" 0.729423299953819 10.06992505033 1.21041169424223e-13 2.64781703361015e-11 20.7724751838818
"Tnfrsf1a" 1.02399915838119 10.0112936732723 1.47481639412113e-13 3.09886092075268e-11 20.6944055621367
"Ptpn13" 1.40049526415837 10.0315391119521 1.37749333662137e-13 2.97259339087927e-11 20.6844676750979
"Aebp1" 2.34861137958197 10.022689069221 1.41921230535396e-13 3.02178684055964e-11 20.6755047103281
"Golim4" 0.934453719704689 9.98027009737358 1.637612948869e-13 3.39623911434922e-11 20.5155126768137
"Cpxm1" 1.24536861083695 9.95932115987936 1.75770247893752e-13 3.59855780591708e-11 20.5100982102959
"Paqr8" 0.785448624296049 9.95185837676702 1.80260012720661e-13 3.64376220650157e-11 20.3769833311449
"Tpbg" -1.5451456644251 -9.87177907656471 2.36384901695424e-13 4.49384582758837e-11 20.2277799762671
"Sox5" -1.06525515519889 -9.90544686998768 2.10904987736237e-13 4.15795277674071e-11 20.2078278178846
"Lrrc63" -2.88575739625929 -10.1207382829091 1.02026597395306e-13 2.36125033884877e-11 20.1950198243056
"Thsd7b" -1.32690736609088 -9.89504907973052 2.1846315920544e-13 4.20317854138757e-11 20.1903638274617
"Dcc" 0.781302404563196 9.90058309280491 2.14407025419783e-13 4.17544608405916e-11 20.1524563110893
"Ndrg3" -0.703952442128821 -9.90760931001903 2.09366589255195e-13 4.15795277674071e-11 20.1507165152845
"Plod1" 1.03751714506528 9.84191427502508 2.61580574889878e-13 4.85718627955402e-11 20.0593506889649
"Col14a1" 2.34925547227617 9.80945841248005 2.92050750767335e-13 5.36064188391216e-11 19.9259147154448
"Tcn2" 1.09814546626936 9.80314712736809 2.98380066967681e-13 5.41458101068965e-11 19.9232442144783
"Mpzl2" 5.00998550724574 9.85063000319951 2.53959266495308e-13 4.77114767842774e-11 19.6830173278404
"Syt10" -2.03448255296026 -9.75375417808463 3.52948581884083e-13 6.26248433789658e-11 19.6822568279681
"Net1" 1.59877741959855 9.73258316391485 3.79326515667769e-13 6.65655508648199e-11 19.6363221608447
"Nptx1" -1.84000972919147 -9.6977379730649 4.27150468802408e-13 7.27264110845782e-11 19.5386594973719
"Atp1a2" 1.27448154029207 9.72767485477171 3.85721112644487e-13 6.69519613893458e-11 19.5343587885639
"Cpt1a" 0.793121580472061 9.68561740371124 4.45176555514083e-13 7.48318359474146e-11 19.4458177625213
"Nxph4" -2.91470819688021 -9.69708872196883 4.28097103259462e-13 7.27264110845782e-11 19.4420878198891
"Bok" 0.751472543104633 9.66923669278169 4.70765629821623e-13 7.83089202356406e-11 19.4105206495164
"Slc26a2" 1.49844378561402 9.62645712237926 5.4482423373034e-13 8.78817998832303e-11 19.4052820299732
"Mrc2" 2.32602911401805 9.60472360645078 5.86849001771534e-13 9.37139170928963e-11 19.3234856822803
"Htra3" 1.42583102416733 9.60176869414179 5.92810115984061e-13 9.37285618034602e-11 19.3171547734284
"Slc2a1" 0.615082609939493 9.64205879878813 5.16541539915002e-13 8.50376479474502e-11 19.285448880206
"Tagln2" 1.17321178799372 9.59147817143667 6.14051075642545e-13 9.61351139895666e-11 19.2333614369063
"Spx" 3.11731511359067 9.78220221696983 3.20394891344654e-13 5.74874833694693e-11 19.2083558792472
"P4ha3" -2.00875034461663 -9.55581136438039 6.93801695320273e-13 1.06531916082399e-10 19.0639382510049
"Vcl" 0.828587710273178 9.53293328070623 7.50384426303325e-13 1.14122751463217e-10 18.9150654099137
"Cdk18" -0.997215851856585 -9.47716809088746 9.08619638282929e-13 1.33865103333741e-10 18.9100063768914
"Tshz3" -1.77750054488239 -9.47337971451822 9.20518991906998e-13 1.33865103333741e-10 18.8266824299146
"Pdpn" 1.13387105356007 9.48033539714844 8.98790308958509e-13 1.33865103333741e-10 18.82012791019
"Cldn2" 3.86928071757898 9.63131938702624 5.35846102564451e-13 8.731557563114e-11 18.8056761978002
"Itgb4" 4.25816279508325 9.47868921196782 9.03885565412379e-13 1.33865103333741e-10 18.7681383569903
"Heph" 1.3931710244051 9.42357502650105 1.09240448392176e-12 1.54227726593483e-10 18.7319835870978
"Loxl1" 1.60213469881461 9.43272064462709 1.05857505709678e-12 1.50932009703379e-10 18.7280939550669
"Rap2a" -0.715534194878028 -9.40210219023477 1.17618420888803e-12 1.62255049172743e-10 18.6503355110729
"Il17re" 3.04310160469653 9.58733593539069 6.22816593512115e-13 9.6560759046553e-11 18.6333692980078
"Slc12a7" 1.94319487585915 9.37947288009886 1.2715080114258e-12 1.70084852240245e-10 18.5825129206297
"Galntl6" -0.834060472240285 -9.38374214360969 1.25294575766942e-12 1.69561786476466e-10 18.542416240245
"Myl9" 1.46775376894637 9.37317136579957 1.29941461414678e-12 1.70084852240245e-10 18.5022063603726
"Nppa" -2.33790522810204 -9.47287719937799 9.22109171940101e-13 1.33865103333741e-10 18.4858977130405
"Adamts9" 1.51307068502378 9.33735313532053 1.47019884018398e-12 1.81996940146496e-10 18.4388526367382
"Prkca" 0.783619815461888 9.38608421484542 1.24287910782114e-12 1.69561786476466e-10 18.3885133818633
"Nxn" 0.826643788489873 9.3454995910384 1.42946541762344e-12 1.78454478315279e-10 18.3804829837347
"Lamb2" 1.39605972276764 9.36100795937103 1.35504123841013e-12 1.7592338297258e-10 18.3496556249936
"Fgf9" 0.991380640235365 9.3080316635026 1.62675324901007e-12 1.96198987608624e-10 18.343481313224
"Bcan" 0.693720974802511 9.37747395486188 1.28029424360859e-12 1.70084852240245e-10 18.3397968778113
"Pdlim5" 0.908031865922702 9.3453085998871 1.4304072405508e-12 1.78454478315279e-10 18.3281970444799
"Prokr1" -4.22922125117415 -9.42129528750263 1.1010057506204e-12 1.54227726593483e-10 18.293791867125
"Fkbp9" 1.43570211731076 9.32660336993447 1.52574751860999e-12 1.86797845073941e-10 18.275991311629
"Rab38" -2.48945908773574 -9.40149810207694 1.17863270737292e-12 1.62255049172743e-10 18.259266789284
"Anks1b" -0.43982338510493 -9.35440118607413 1.38625669907825e-12 1.77097065820645e-10 18.2587546018461
"Hmgcs2" 1.30951567835723 9.28839930967616 1.74087647428374e-12 2.05926343835829e-10 18.2414823478499
"Anxa8" 3.92937574811542 9.45027466095758 9.96575921080136e-13 1.43372260213772e-10 18.2405090406448
"Sh3gl3" -0.719301252551411 -9.32534702088478 1.53237633569329e-12 1.86797845073941e-10 18.2282033621222
"Ptgfr" 3.01178845789061 9.37521050156355 1.29031719439958e-12 1.70084852240245e-10 18.2091816738523
"Bnc2" 4.71597448368114 9.3067318639409 1.63407009530635e-12 1.96198987608624e-10 18.077808482796
"Eln" 1.34622424436208 9.24143655156644 2.04775805368476e-12 2.35256463016489e-10 18.0664513360307
"Gfap" 1.27953031937291 9.29315424825242 1.71251530771809e-12 2.04083260813061e-10 18.0505648175907
"Aldh2" 0.751012807491783 9.27020585001203 1.85383858081636e-12 2.16262645601763e-10 18.0199836959517
"Inpp4b" 0.652207041621822 9.22778188331587 2.14683632018567e-12 2.43140632603155e-10 17.9576121588613
"LOC499715" -2.85714617909558 -9.35865995213031 1.36605294561963e-12 1.7592338297258e-10 17.9368413650425
"Serpinb10" 3.10515736350821 9.35118950676243 1.40169224229633e-12 1.77647804898652e-10 17.9233708907529
"Sptb" 0.796209505923757 9.23268146191683 2.11074052993225e-12 2.40760110874915e-10 17.8596259379251
"Ucma" -3.339987998987 -9.26997107369706 1.85534363125065e-12 2.16262645601763e-10 17.8142895798232
"Rai14" 0.882921712291892 9.16380142350004 2.67954907781454e-12 2.95101511887038e-10 17.7473431173252
"Reln" 1.70748802833072 9.19706159085284 2.38779211442255e-12 2.68525720247984e-10 17.7189106938182
"Plat" 1.16464667786387 9.16594590378623 2.65969730289765e-12 2.94949348819253e-10 17.6707582170948
"Six1" 3.96249165910127 9.25733992167671 1.93816044659552e-12 2.24278870809304e-10 17.6705963059068
"Icam1" 1.7560234965444 9.15555275545011 2.75731135937182e-12 3.01585651354853e-10 17.6545242663235
"Fam3c" 0.64778262042656 9.16670836941325 2.65267484737076e-12 2.94949348819253e-10 17.6293601558378
"Abcb1a" 0.908124807141187 9.12803886611205 3.03353556626641e-12 3.22950196384722e-10 17.6014755170687
"Tbr1" -2.21320712433977 -9.10511875342505 3.28484846661096e-12 3.45103586600727e-10 17.5659419540022
"Col5a2" 1.83307506551145 9.10928229990735 3.23768418150454e-12 3.42401183406927e-10 17.5640768548934
